Pathway,Metadata_treatment,mean_score,median_score,score_std,n_scored_cells,n_score_plates,mean_cell_count,median_cell_count,mean_relative_cell_count,median_relative_cell_count,viability_std,n_treatment_wells,n_viability_plates
Others,UCD-0159487,0.9594373501969189,0.9999831377850383,0.14720688435800036,505,4,126.25,130.0,0.816326295343221,0.8478088281994285,0.223621613036722,4,4
Others,UCD-0159496,0.379781840834139,0.27521153733923687,0.35065650410343613,659,4,164.75,167.5,1.0243258649619829,1.0047433647729767,0.0813423364686412,4,4
Others,UCD-0159504,0.6713424582323,0.7747833226794075,0.3475387742362221,67,3,22.333333333333332,21.0,0.12858142933064443,0.11940298507462686,0.022892802216684337,3,3
Others,UCD-0159505,0.2524582032066113,0.05014018973907758,0.3359696391221026,621,4,155.25,153.5,0.9898711405555815,0.9949852153760089,0.17864298634977824,4,4
Others,UCD-0159509,0.1105064651677384,0.016450753307194477,0.20101457247313004,424,4,106.0,113.0,0.5567522949495277,0.6233033707865169,0.35620284587949935,4,4
Others,UCD-0159513,0.4182497927150356,0.3326682408775804,0.3708900753109343,554,4,138.5,149.5,0.8722134854632098,0.8098267163851722,0.3151339878466261,4,4
Others,UCD-0159514,0.04611524008159305,0.0017156814717400864,0.12600574875801282,682,4,170.5,186.5,0.9602461970547564,0.981097288676236,0.2909566653644352,4,4
Others,UCD-0159514B,0.026997099351527953,0.004473421071574566,0.07982565529385986,576,4,144.0,163.0,1.0716499146947556,1.1959016393442623,0.3127018691676896,4,4
Others,UCD-0159521,0.11764493909614684,0.004268609190526492,0.21687153833735798,469,4,117.25,121.0,0.7249770083508198,0.7053630182057469,0.4134584333285916,4,4
Others,UCD-0159524,0.0048223464231861605,1.414268365565494e-06,0.03915891885482286,348,4,87.0,81.5,0.6908337855617458,0.6511571841851495,0.5532374531275684,4,4
Others,UCD-0159535,0.4393382798913854,0.3945250001094692,0.2927808822215445,619,4,154.75,142.5,1.162672611355553,1.1080838919492932,0.21705039205912252,4,4
Others,UCD-0159540,0.5116088769462863,0.5039401204636216,0.30354747962928913,519,4,129.75,131.5,0.9718298462943948,0.9622950819672131,0.09318378720330489,4,4
Others,UCD-0159557,0.21113619493283842,0.10724429329349139,0.249564678936916,337,4,84.25,99.0,0.6260351313154185,0.7338687197185902,0.35719403931865057,4,4
Others,UCD-0159567,0.6225934574383981,0.712854014536564,0.33489138483544023,453,4,113.25,114.5,0.8462244265824361,0.7796112115732369,0.3783611616989942,4,4
Others,UCD-0159568,0.17357012635093005,0.03488340419474539,0.26058854000099174,687,4,171.75,170.0,1.1020146986162653,1.0991584630041282,0.24177449602726067,4,4
Others,UCD-0159571,0.37318772150832336,0.28801815817044174,0.2979843931521069,585,4,146.25,143.5,1.107506812707163,1.116321118611379,0.1591784317092594,4,4
Others,UCD-0159576,0.4822885958141235,0.473290688615482,0.36667567609669927,613,4,153.25,150.0,0.9693491363456441,0.9707049857097492,0.15919380830425653,4,4
Others,UCD-0159590,0.5651263807799242,0.6039981930136618,0.3380042074309702,134,4,33.5,31.5,0.260243679158226,0.2170926517571885,0.19447562665339282,4,4
Others,UCD-0159594,0.508033467845327,0.5042038409620143,0.2962496737206389,195,4,48.75,47.5,0.3656253782126111,0.3261933461909354,0.31051104179791084,4,4
Others,UCD-0159609,0.30690834045451515,0.18271186127029987,0.2906330169345574,112,2,56.0,56.0,0.3607658184654382,0.3607658184654382,0.47793648603597905,2,2
Others,UCD-0159611,0.2535964338700853,0.1705539036879558,0.25086411877494585,423,4,105.75,126.5,0.6815463435552156,0.8707207207207208,0.42364386191285225,4,4
Others,UCD-0159637,0.15683124911778243,0.03815042078040108,0.22784614203013231,548,4,137.0,140.0,0.9873940508272413,1.0583634719710668,0.2072512686269169,4,4
Others,UCD-0159657,0.14603345792778855,0.04040464660898018,0.20591953804583613,525,4,131.25,132.0,1.1669060561487683,0.982969507969508,0.44371100017392007,4,4
Others,UCD-0159665,0.2980729517818694,0.2234271707713275,0.2542664281660867,596,4,149.0,160.5,1.1388087132377342,1.2841748035246487,0.30960888535504827,4,4
PI3K/Akt/mTOR,UCD-0001829,0.44464287742806674,0.4079793185219639,0.30719900408195217,746,4,186.5,182.0,0.8684117610854121,0.8697880739883902,0.10177094978588044,4,4
PI3K/Akt/mTOR,UCD-0001885,0.9301004606072607,0.998569920432415,0.17824520328978238,274,4,68.5,78.5,0.3378351493410846,0.38078431372549015,0.16620692707696225,4,4
PI3K/Akt/mTOR,UCD-0001888,0.09084488563777376,0.012898240981322574,0.16390960615189804,635,4,158.75,165.5,0.7869841002955156,0.816508405977584,0.3739874659167992,4,4
PI3K/Akt/mTOR,UCD-0001900,0.1921581419983801,0.06426580007342485,0.260747447401336,893,4,223.25,221.0,1.0871040366108793,1.0699215808470308,0.04961056172918925,4,4
PI3K/Akt/mTOR,UCD-0018240,0.047591775338577155,8.761536609320186e-05,0.1515715029738093,909,4,227.25,227.5,1.0849625469683453,1.1149075500770418,0.09932478693992469,4,4
PI3K/Akt/mTOR,UCD-0159259,0.36681011785776657,0.3064040172378214,0.311795971621013,624,4,156.0,158.0,0.728007989182217,0.7149860079127666,0.039999670165511744,4,4
PI3K/Akt/mTOR,UCD-0159290,0.9991458343659912,0.9998426692161004,0.0015133509998037913,6,1,6.0,6.0,0.030690537084398978,0.030690537084398978,,1,1
PI3K/Akt/mTOR,UCD-0159302,0.37115787775444925,0.28795118200530584,0.3215346955397223,673,4,168.25,165.5,0.8433704409269425,0.8733316544950894,0.17104553040033657,4,4
PI3K/Akt/mTOR,UCD-0159314,0.042686034141782764,2.8509422451097125e-05,0.1157174246145455,117,2,58.5,58.5,0.29703030303030303,0.29703030303030303,0.17579103129861925,2,2
PI3K/Akt/mTOR,UCD-0159315,0.9376993035376229,0.9997594514304027,0.15305995002574743,582,4,145.5,154.0,0.7053375851029732,0.7216927140655954,0.24842148100164713,4,4
PI3K/Akt/mTOR,UCD-0159325,0.3997986029102429,0.009220777091700046,0.5402891423930444,5,3,1.6666666666666667,1.0,0.007937437327267835,0.005333333333333333,0.004941510085497663,3,3
PI3K/Akt/mTOR,UCD-0159355,0.21079901959172598,0.061675611238178885,0.2845874660394801,941,4,235.25,245.0,1.1429130695278813,1.183712121212121,0.12030044150838014,4,4
PI3K/Akt/mTOR,UCD-0159370,0.5563156217563376,0.5898554805599423,0.3769582445806872,731,4,182.75,176.5,0.8948715251206556,0.8245642701525054,0.22383016733767022,4,4
PI3K/Akt/mTOR,UCD-0159379,0.8754297144543968,0.9759272013987341,0.2090137948225087,756,4,189.0,171.0,0.9334286270085803,0.8413279887618679,0.199930019871556,4,4
PI3K/Akt/mTOR,UCD-0159423,0.03975103197195535,0.004461538811179023,0.09870670572580958,707,4,176.75,173.0,0.882781233911069,0.8702781237027812,0.25606080083885097,4,4
PI3K/Akt/mTOR,UCD-0159431,0.05884045330466291,0.011343828626269321,0.12434634172702795,362,4,90.5,36.5,0.43001921386843833,0.19708180673231052,0.5158836113909729,4,4
PI3K/Akt/mTOR,UCD-0159439,0.7538769312354222,0.7812630761748637,0.25392489063294815,287,4,71.75,70.0,0.34315076168282527,0.3192133603870766,0.17149499054553052,4,4
PI3K/Akt/mTOR,UCD-0159497,0.27017316190846274,0.15206366032192986,0.30654533502368614,617,4,154.25,154.0,0.9535298215229295,0.940641732598098,0.03127324006923954,4,4
PI3K/Akt/mTOR,UCD-0159553,0.30321136596116477,0.09503550256614227,0.3727952315631968,94,4,23.5,16.5,0.16155765802866384,0.10193398865180212,0.16918055377702856,4,4
PI3K/Akt/mTOR,UCD-0159578,0.3327444649742764,0.24866773993849015,0.3151213783196859,163,2,81.5,81.5,0.5364151398264224,0.5364151398264224,0.7066124201293053,2,2
PI3K/Akt/mTOR,UCD-0159579,0.19455361382592368,0.11308449653774354,0.22580321585180702,412,4,103.0,99.5,0.7697680507458841,0.8105462268533882,0.14115414964986672,4,4
PI3K/Akt/mTOR,UCD-0159581,0.37996792352926445,0.3323014620748569,0.3046163253786168,336,4,84.0,78.5,0.6419743039911923,0.6077190997856633,0.18742513225842844,4,4
PI3K/Akt/mTOR,UCD-0159605,0.22551976093068823,0.17051589759726185,0.25585264013042813,62,3,20.666666666666668,24.0,0.13751384162675465,0.17142857142857143,0.0638190132224439,3,3
PI3K/Akt/mTOR,UCD-0159613,0.1589878463410923,0.04020074618423163,0.2234739235977036,37,2,18.5,18.5,0.1199367088607595,0.1199367088607595,0.0989054421786247,2,2
Proteases,UCD-0000918,0.17116809006303813,0.04133116235590268,0.25061243624696916,685,4,171.25,170.0,0.8032050336365395,0.8021074815595364,0.030224130291780053,4,4
Proteases,UCD-0018183,0.1993284698511397,0.07511713028327074,0.2621886253701792,846,4,211.5,199.0,0.9920321194399632,0.9730471079308288,0.12181683855156883,4,4
Proteases,UCD-0018458,0.2813283756268461,0.17758005547346672,0.2815968050608375,730,4,182.5,182.0,0.9134207996091643,0.916002438379168,0.04822232449784556,4,4
Proteases,UCD-0159316,0.2798796091839089,0.15900518326508686,0.298451904747527,570,4,142.5,145.5,0.6855231990781827,0.67714058098185,0.2724042606458328,4,4
Proteases,UCD-0159328,0.9999966473643804,0.9999966473643804,,1,1,1.0,1.0,0.004842615012106538,0.004842615012106538,,1,1
Proteases,UCD-0159352,0.4195018291082867,0.34015381005631795,0.3634623549689585,464,4,116.0,114.5,0.566735638557051,0.5770588235294118,0.11161849802045753,4,4
Proteases,UCD-0159353,0.9382881009770744,0.9941970814224109,0.13493157493301283,597,4,149.25,143.0,0.7494209995633342,0.729387193856372,0.16009615202501634,4,4
Proteases,UCD-0159457,0.5137704467241636,0.5215626523516323,0.3654041234405665,706,4,176.5,183.0,1.121074774517766,1.078508988949365,0.18518048043518373,4,4
Proteases,UCD-0159471,0.7559995229342313,0.9429861868003562,0.31742989116194986,614,4,153.5,147.5,0.9754479634606494,1.0174830941777997,0.16679447790555693,4,4
Proteases,UCD-0159516,0.21572152724949353,0.04615227766916359,0.2970204439078891,377,4,94.25,98.5,0.4979494366066144,0.4872025518341308,0.41390096357215317,4,4
Proteases,UCD-0159517,0.3556983528548707,0.2654726149719398,0.32955882528321145,638,4,159.5,161.0,0.8859351277083105,0.8932784951169954,0.0770204965553224,4,4
Proteases,UCD-0159518,0.999850919616445,0.999999999421332,0.0026185442074938285,348,4,87.0,95.5,0.5464637196496336,0.5001645097609124,0.1881349541309609,4,4
Proteases,UCD-0159522,0.3004574739023935,0.1763156046247135,0.3319202195858088,497,4,124.25,145.0,0.7356603498826765,0.9018425093222198,0.41672888056077023,4,4
Proteases,UCD-0159523,0.20075475365207562,0.037228020339247145,0.294684107067071,240,2,120.0,120.0,0.7408832128019696,0.7408832128019696,0.07093916315335114,2,2
Proteases,UCD-0159530,0.14011551730612756,0.010666034931216765,0.24354938669354256,533,4,133.25,131.5,0.8394122018467577,0.8400263725725245,0.10854074607229917,4,4
Proteases,UCD-0159539,0.7355994132672927,0.8284073344321459,0.2574785657532616,534,4,133.5,134.0,1.007543413927594,1.0008437801350047,0.11167390304037184,4,4
Proteases,UCD-0159642,0.2685070746572331,0.2010762501379143,0.24996085098629783,375,4,93.75,110.5,0.616151348042983,0.6933645183645183,0.40258739992464226,4,4
Proteases,UCD-0159652,0.115872604394342,0.027741540684287577,0.18978800506630444,512,4,128.0,122.0,0.9159924164079541,0.9277270652670013,0.11803074444528015,4,4
Protein Tyrosine Kinase,UCD-0001733,0.5173475068591279,0.516145888228768,0.3347850020041165,793,4,198.25,198.5,0.990318946518031,0.9753210778141526,0.1190828240278897,4,4
Protein Tyrosine Kinase,UCD-0001869,0.5475214936670724,0.5905799223332368,0.35884828016900233,973,4,243.25,249.0,1.1626191306463385,1.186329170383586,0.14239241118428667,4,4
Protein Tyrosine Kinase,UCD-0159308,0.6896773445900586,0.7612804043648753,0.297516692071834,29,2,14.5,14.5,0.07693939393939395,0.07693939393939395,0.10238049092452499,2,2
