Metadata_treatment,Pathway,mean_logit_score,mean_relative_cell_count,mean_average_precision,corrected_p_value,-log10(p-value),hit
UCD-0159457,Proteases,0.5137704467241636,1.121074774517766,0.6132034632034632,0.0579019374200097,1.2373069043771885,False
UCD-0159450,DNA Damage,,,,,,False
UCD-0159520,NF-κB,0.9999999209801378,0.0206185567010309,,,,False
UCD-0159512,Others,,,,,,False
UCD-0159504,Others,0.6713424582323,0.1285814293306444,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159496,Others,0.379781840834139,1.0243258649619829,0.4364621489621489,0.2209305845669482,0.6557441583285767,False
UCD-0159488,Epigenetics,0.5477703348911679,0.3493711078426991,0.9305555555555556,0.0027641070585855,2.5584451400053156,False
UCD-0159419,Protein Tyrosine Kinase,0.045820367758905,0.0231673690234639,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0011250,Endocrinology & Hormones,0.2435910012813165,1.0933428291160951,0.5510010822510822,0.0997861199203481,1.0009298641357447,False
UCD-0159381,Neuronal Signaling,0.2268558073131864,0.6807859754731196,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159408,Neuronal Signaling,0.2231532086041569,1.0635805812187535,0.3280844155844156,0.2843273231622746,0.5461814036636747,False
UCD-0159431,PI3K/Akt/mTOR,0.0588404533046629,0.4300192138684383,0.681060606060606,0.0489284471184923,1.3104385675748629,False
UCD-0159423,PI3K/Akt/mTOR,0.0397510319719553,0.882781233911069,0.6643939393939393,0.0502759043531575,1.298640108656559,False
UCD-0159415,Ubiquitin,,,,,,False
UCD-0159410,Neuronal Signaling,0.1734062652669647,0.8176983597544698,0.7729166666666667,0.0259478741154133,1.5858982176908607,False
UCD-0011462,Endocrinology & Hormones,,,,,,False
UCD-0159407,NF-κB,0.1821506863231377,1.0815961372268736,0.4396762959262959,0.2190516665654787,0.659453438320374,False
UCD-0159402,GPCR & G Protein,0.1014849335408048,0.7819939327160653,0.5940656565656566,0.0677517970751053,1.1690791809044627,False
UCD-0159398,Protein Tyrosine Kinase,0.173032348669187,1.1251785893965254,0.693560606060606,0.0489284471184923,1.3104385675748629,False
UCD-0159391,Protein Tyrosine Kinase,0.1197814783822208,1.2124649989716758,0.3946428571428571,0.2466165413533834,0.6079777972554067,False
UCD-0159435,Protein Tyrosine Kinase,4.651425286072529e-05,0.011887098443808,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159430,Proteases,,,,,,False
UCD-0159422,Apoptosis,0.4074767662326746,0.9060277510609194,0.5069444444444444,0.1208097895795056,0.9178978721048168,False
UCD-0159414,DNA Damage,0.093274199097688,0.6560363396997744,0.4060185185185185,0.2450989010989011,0.6106586359031783,False
UCD-0017582,Neuronal Signaling,0.2391929733379879,0.902100453303181,0.3013736263736263,0.3178460494374984,0.497783182119814,False
UCD-0000899,Neuronal Signaling,,,,,,False
UCD-0159392,Angiogenesis,0.9618056496327428,0.5009260704437855,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0018458,Proteases,0.2813283756268461,0.9134207996091644,0.5731150793650793,0.0775671215231654,1.1103223247063967,False
UCD-0022022,Others,0.1250864274805549,0.9460571974492732,0.4376082251082251,0.2190516665654787,0.659453438320374,False
UCD-0159390,Neuronal Signaling,0.3022670502884608,0.9375341295969252,0.6713383838383837,0.0496199835406883,1.3043433841224432,False
UCD-0159389,Protein Tyrosine Kinase,0.3590864833906316,0.7456855021725108,0.5037698412698413,0.1228771228771228,0.9105289660399208,False
UCD-0159382,Neuronal Signaling,0.3128053942337871,1.0594754631963277,0.3501230251230251,0.269655531500918,0.5691906665099344,False
UCD-0159374,Endocrinology & Hormones,0.1781407824759115,0.8070906480284608,0.3763888888888889,0.2522159774068171,0.5982274051545786,False
UCD-0159367,Neuronal Signaling,0.6417548682864812,0.9492801476455638,0.5871212121212122,0.072560398403095,1.1393003413863467,False
UCD-0159360,Metabolism,0.2427118484804808,0.921996033954084,0.3622023809523809,0.2589233551258867,0.5868287740346956,False
UCD-0001567,Transmembrane Transporters,0.1510252306930224,0.1998723301473379,0.1833333333333333,0.3234714003944773,0.490164111285638,False
UCD-0159349,Metabolism,0.8207345891205396,0.5003480736293829,0.4796296296296296,0.147401980735314,0.8314966805432,False
UCD-0001888,PI3K/Akt/mTOR,0.0908448856377737,0.7869841002955156,0.4232142857142857,0.238095238095238,0.6232492903979004,False
UCD-0001870,Angiogenesis,1.9258863219054208e-19,0.0048076923076923,,,,False
UCD-0000737,GPCR & G Protein,0.6681881279075255,1.1433540984351214,0.3893939393939394,0.2493902963876854,0.6031204486412295,False
UCD-0159660,Epigenetics,,,,,,False
UCD-0159436,Stem Cells & Wnt,0.4204380524126,0.8187474643784382,0.3499098124098124,0.2712262861516593,0.566668222705397,False
UCD-0159399,Apoptosis,0.8834793005955134,0.1646186070743115,0.5944444444444444,0.0964333911702332,1.0157725605991013,False
UCD-0011098,Neuronal Signaling,0.3290398152543918,0.8982901450923371,0.7482142857142857,0.040347711989503,1.394181087918541,False
UCD-0159433,Protein Tyrosine Kinase,0.735386106362139,1.0021025228761418,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159404,Metabolism,0.0906359116858516,0.81766228476943,0.4472402597402597,0.2056028478563689,0.6869708741138213,False
UCD-0018456,GPCR & G Protein,,,,,,False
UCD-0159395,GPCR & G Protein,0.1745689019658874,1.018545259347913,0.9791666666666666,0.0027641070585855,2.5584451400053156,False
UCD-0159439,PI3K/Akt/mTOR,0.7538769312354222,0.3431507616828252,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0001924,Epigenetics,0.1492955451942889,0.4628583320326725,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159426,DNA Damage,0.2469218060153983,1.0252433057911228,0.6384920634920634,0.0525641025641025,1.279310745970745,False
